cis_AA,cis_BB
0.87904262928168,1.06238580624614
0.824426375217467,0.949798701662636
0.852859716680933,0.848911216036541
0.743670064372301,0.956768503870797
0.632372503717943,0.779637333350889
0.743670064372301,0.926182497753049
0.71867587813709,0.840193103803431
0.75923452959416,0.97333018403002
0.884339995775847,0.758847004461532
0.80483050699382,0.822817247198015
0.779351203824508,0.679423639227734
0.814809172932146,0.938977354005431
0.798786320485823,0.944342938885462
0.741076297331641,0.795380642375225
1.05591573434452,0.972285453381469
0.772644222724469,0.954015347749464
0.773955270613707,0.885321505205121
0.863728297761093,1.08022665369403
0.786952449071218,0.933965543952655
0.84134657186745,0.910616405353838
0.718850794824671,0.953423159451668
0.781525190801762,0.950101127537202
0.870106527672057,0.9336117691254
